Fecha,CodigoPlanta,TipoGeneracion,TipoClasificacion,TipoDespachoRecurso,GeneracionRealEstimada kWh,GeneracionProgramadaDespacho kWh,GeneracionProgramadaRedespacho kWh
2013-02-27,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-26,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,809930.31,809930.31,794000.0
2013-02-26,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3431880.0,3431880.0,3423000.0
2013-02-26,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,8740.0,8740.0,0.0
2013-02-26,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13461780.0,13461780.0,13440000.0
2013-02-25,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9282341.0,9282341.0,9720000.0
2013-02-25,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2790360.0,2790360.0,2809460.0
2013-02-25,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-25,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13413485.0,13413485.0,13440000.0
2013-02-24,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,7391756.0,7391756.0,8205000.0
2013-02-24,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3356160.0,3356160.0,3480000.0
2013-02-24,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,126040.02,126040.02,0.0
2013-02-24,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,158140.41,158140.41,144000.0
2013-02-23,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2630520.0,2630520.0,2268000.0
2013-02-23,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,550684.88,550684.88,514000.0
2013-02-23,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-02-23,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,9834839.0,9834839.0,10366000.0
2013-02-22,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,8708721.0,8708721.0,9284840.0
2013-02-22,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13376973.0,13376973.0,13440000.0
2013-02-22,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1114553.75,1114553.75,1081560.0
2013-02-22,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,1690080.0,1690080.0,1522000.0
2013-02-21,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,448960.06,448960.06,0.0
2013-02-21,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-21,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13423402.0,13423402.0,13440000.0
2013-02-21,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,686070.19,686070.19,644000.0
2013-02-20,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-02-20,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-20,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,905307.31,905307.31,862012.0
